popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
28,0.843,0.664,89479.0,0.222,0.0,8,0.246,-18.466,0,0.947,17770,0.62
49,0.435,0.562,226720.0,0.476,0.0,7,0.101,-12.155,1,0.246,26227,0.185
43,0.00363,0.261,333027.0,0.572,0.00134,10,0.158,-5.48,0,0.0323,3676,0.0382
7,0.866,0.46,112213.0,0.359,0.000304,4,0.145,-16.522,1,0.0335,9355,0.691
38,0.815,0.706,290840.0,0.396,0.947,0,0.0925,-12.175,1,0.0248,1047,0.719
42,0.848,0.447,401813.0,0.446,0.893,5,0.117,-11.842,0,0.0295,376,0.511
41,0.0594,0.695,287200.0,0.763,0.142,3,0.286,-7.69,0,0.0281,5233,0.289
56,0.00297,0.18,201093.0,0.798,9.44e-05,8,0.22,-4.149,1,0.0429,10559,0.134
44,0.273,0.621,,0.568,0.0301,10,0.0641,-5.797,0,0.0449,2703,0.557
52,0.319,0.698,188690.0,0.58,0.0,7,0.172,-6.728,1,0.0708,11272,0.531
13,0.784,0.535,377000.0,0.729,0.0,7,0.707,-7.788,1,0.938,18782,0.555
49,0.161,0.611,232273.0,0.662,0.000372,0,0.069,-7.608,0,0.0403,13112,0.203
39,0.0274,0.376,589787.0,0.804,0.784,9,0.282,-8.591,1,0.076,13416,0.607
66,0.862,0.68,203639.0,0.381,3.72e-06,2,0.0985,-10.084,1,0.225,17318,0.215
78,0.0635,0.829,188600.0,0.589,0.0,4,0.113,-7.055,0,0.202,10265,0.233
11,0.897,0.582,,0.561,0.0,2,0.467,-17.281,0,0.959,26227,0.356
45,0.00826,0.799,227710.0,0.487,0.0,7,0.0978,-9.554,0,0.348,5169,0.524
49,0.00124,0.56,212893.0,0.935,0.0,10,0.233,-3.214,0,0.0507,89,0.358
47,0.865,0.713,154267.0,0.317,0.0,7,0.142,-7.581,0,0.0464,20186,0.733
56,0.519,0.612,176632.0,0.409,0.0,10,0.0554,-6.797,0,0.0292,19221,0.698
47,0.267,0.384,285760.0,0.817,0.00191,4,0.0756,-9.079,0,0.0662,7492,0.686
17,0.985,0.444,87893.0,0.169,2.37e-05,0,0.0775,-14.483,0,0.0933,19743,0.29
34,0.791,0.718,166200.0,0.538,1.39e-06,8,0.104,-8.862,0,0.0301,319,0.961
71,0.0901,0.707,190280.0,0.674,0.0,4,0.115,-5.578,0,0.177,24721,0.928
48,0.559,0.539,201712.0,0.309,0.702,7,0.109,-13.597,0,0.0326,5201,0.0735
13,0.876,0.722,51160.0,0.415,0.0,9,0.691,-14.892,0,0.929,26227,0.64
12,0.86,0.257,96000.0,0.00364,0.254,10,0.0889,-38.117,0,0.0401,4555,0.211
15,0.826,0.388,411493.0,0.795,0.0,9,0.896,-10.528,1,0.943,21023,0.24
28,0.976,0.407,374000.0,0.304,0.00469,8,0.0809,-16.759,0,0.0985,2165,0.236
44,0.0309,0.559,193587.0,0.493,0.788,11,0.0768,-8.255,1,0.144,14181,0.625
5,0.957,0.388,207467.0,0.427,0.00414,5,0.108,-11.083,0,0.0552,21908,0.465
26,0.994,0.197,336300.0,0.106,0.765,8,0.0989,-16.132,0,0.0509,18207,0.0897
67,0.0585,0.678,205373.0,0.845,0.0,10,0.0942,-3.527,0,0.055,25355,0.954
57,0.275,0.746,143942.0,0.573,0.0,10,0.0982,-6.394,0,0.155,18022,0.404
41,0.546,0.903,,0.911,0.0293,9,0.131,-5.676,0,0.0698,7031,0.965
54,0.508,0.47,201546.0,0.299,2.54e-05,4,0.0981,-10.248,1,0.0878,21276,0.507
63,0.12,0.578,251515.0,0.679,0.0,9,0.153,-3.546,0,0.0716,26046,0.399
50,0.0431,0.594,258227.0,0.63,2.56e-06,9,0.0974,-7.323,1,0.0268,4448,0.365
44,0.391,0.71,,0.312,2.19e-06,1,0.0682,-6.918,1,0.0325,2186,0.535
23,0.911,0.125,238800.0,0.279,0.336,5,0.732,-17.89,0,0.0894,20854,0.159
51,0.234,0.599,426173.0,0.789,0.894,7,0.381,-6.538,0,0.0263,8895,0.602
44,0.794,0.171,217267.0,0.38,0.919,1,0.0758,-16.502,0,0.0385,17179,0.181
56,0.895,0.493,,0.0726,0.00176,3,0.105,-19.821,0,0.0367,24974,0.234
74,0.535,0.836,230280.0,0.637,0.0,9,0.129,-4.803,0,0.0367,5234,0.875
63,0.521,0.658,257387.0,0.475,0.0067,10,0.176,-11.703,0,0.0292,12515,0.685
26,0.00544,0.535,136400.0,0.902,2.03e-06,0,0.0826,-7.394,0,0.27,8808,0.658
49,0.0809,0.555,258973.0,0.467,0.000983,0,0.0707,-14.698,0,0.0443,11381,0.591
66,0.431,0.816,234370.0,0.492,0.0899,1,0.0995,-7.464,1,0.0752,26227,0.766
41,0.967,0.152,,0.0305,0.329,4,0.0761,-28.258,1,0.043,21705,0.126
40,0.637,0.357,200333.0,0.196,0.727,8,0.0999,-20.353,0,0.045,23485,0.109
47,0.0793,0.633,195587.0,0.689,0.0,11,0.296,-7.904,0,0.285,15497,0.654
50,0.434,0.811,,0.538,0.00197,9,0.124,-9.413,1,0.0678,26227,0.531
51,0.0341,0.634,,0.716,0.0,5,0.0877,-6.502,0,0.128,26227,0.619
69,0.00544,0.731,265333.0,0.368,0.0,11,0.193,-10.38,0,0.0688,11368,0.512
35,0.000633,0.563,154507.0,0.939,0.00673,4,0.287,-7.322,0,0.061,3279,0.587
65,0.0691,0.464,270000.0,0.701,0.00182,0,0.0766,-5.943,0,0.0341,17781,0.407
56,0.0262,0.834,177292.0,0.65,1.4e-06,8,0.0999,-9.031,1,0.147,11087,0.334
15,0.801,0.614,190636.0,0.408,0.0,0,0.645,-17.184,0,0.917,26227,0.627
68,0.558,0.542,153840.0,0.45,6.43e-06,10,0.579,-9.931,1,0.0361,11191,0.626
21,0.908,0.66,170667.0,0.59,0.0,4,0.294,-9.758,0,0.894,2455,0.539
28,0.901,0.719,77053.0,0.574,0.0,0,0.714,-8.446,0,0.959,21112,0.469
44,0.8,0.537,232207.0,0.154,1.93e-06,11,0.0832,-11.0,0,0.0357,26227,0.0926
58,0.499,0.741,237876.0,0.505,9.58e-05,1,0.116,-8.304,0,0.218,3388,0.324
29,0.78,0.572,711520.0,0.852,0.0,4,0.91,-12.58,0,0.937,4157,0.246
64,0.277,0.852,,0.66,0.0,5,0.207,-6.177,0,0.224,26227,0.517
53,0.805,0.642,222131.0,0.359,0.000995,8,0.118,-11.002,1,0.12,26227,0.428
40,0.0778,0.791,255120.0,0.417,3.73e-05,2,0.109,-7.068,1,0.0577,24338,0.423
32,0.995,0.204,228507.0,0.0541,0.88,2,0.111,-24.714,1,0.0486,7989,0.0606
42,0.0512,0.391,304813.0,0.571,0.000739,2,0.244,-7.114,0,0.0341,11222,0.228
14,0.991,0.563,56307.0,0.0787,9.17e-05,6,0.127,-20.364,0,0.0522,17093,0.287
50,0.959,0.123,,0.145,0.869,4,0.115,-20.277,0,0.0458,24839,0.0364
33,0.871,0.561,270220.0,0.818,0.0,8,0.583,-8.234,0,0.891,4947,0.323
37,0.874,0.222,138440.0,0.229,0.85,1,0.123,-15.968,1,0.0327,10981,0.374
72,0.13,0.659,230013.0,0.902,9.45e-05,10,0.0574,-6.192,0,0.0296,26227,0.809
9,0.959,0.19,130560.0,0.336,0.00472,11,0.23,-10.565,0,0.0514,17944,0.11
60,0.0351,0.447,,0.625,0.000727,1,0.243,-8.212,1,0.323,26227,0.261
25,0.911,0.518,464910.0,0.361,2.19e-06,3,0.83,-18.374,0,0.609,20213,0.717
41,0.53,0.62,,0.786,1.02e-06,11,0.348,-8.114,0,0.0509,8270,0.923
28,0.135,0.716,354827.0,0.589,0.161,4,0.187,-8.471,0,0.0553,24718,0.745
0,0.88,0.208,392787.0,0.25,0.00814,4,0.489,-11.641,0,0.0329,72,0.326
28,0.795,0.508,248853.0,0.779,0.0,4,0.736,-19.677,1,0.916,26227,0.0806
43,0.027,0.348,532947.0,0.738,0.0185,2,0.134,-8.401,1,0.0443,4838,0.577
35,0.267,0.357,332427.0,0.84,0.00496,7,0.299,-8.574,0,0.0902,12375,0.64
16,0.775,0.18,301680.0,0.251,0.518,4,0.091,-16.944,0,0.0321,22613,0.0546
47,0.0617,0.739,197147.0,0.666,0.164,4,0.0934,-8.169,1,0.21,5816,0.666
24,0.854,0.528,171000.0,0.861,0.0,11,0.931,-4.317,0,0.672,21673,0.82
63,0.705,0.831,215787.0,0.794,3.4e-05,5,0.0978,-3.701,1,0.0752,4723,0.735
10,0.981,0.0776,215342.0,0.0294,0.256,8,0.351,-33.755,0,0.0464,16127,0.0381
37,0.442,0.559,566067.0,0.366,0.195,3,0.108,-13.291,0,0.0446,6460,0.545
11,0.895,0.475,233160.0,0.534,0.0,3,0.134,-17.003,0,0.952,16011,0.213
58,0.153,0.829,195371.0,0.457,1.23e-05,3,0.0772,-10.91,0,0.0729,4694,0.257
37,0.989,0.45,274400.0,0.0827,0.951,5,0.101,-18.629,0,0.0822,20172,0.424
36,0.918,0.783,180744.0,0.198,1e-05,6,0.151,-13.578,0,0.083,147,0.649
56,0.0518,0.755,227704.0,0.459,9.42e-06,1,0.233,-8.58,1,0.299,12071,0.38
24,0.89,0.513,465000.0,0.494,7.44e-06,7,0.511,-12.101,0,0.95,17620,0.415
70,0.941,0.526,200627.0,0.299,0.097,11,0.106,-13.797,0,0.031,12820,0.679
15,0.654,0.591,1075490.0,0.45,0.0,0,0.343,-13.611,1,0.96,20176,0.46
15,0.879,0.63,261533.0,0.436,0.0,0,0.589,-14.349,1,0.951,16836,0.692
25,0.303,0.686,157187.0,0.69,1.84e-05,5,0.111,-4.34,1,0.0345,13573,0.508
56,0.0418,0.953,199301.0,0.616,0.0,11,0.0712,-9.583,1,0.273,7586,0.288
46,0.895,0.57,,0.322,0.857,5,0.131,-11.943,0,0.0281,24360,0.333
54,0.01,0.735,256640.0,0.944,0.00307,11,0.048,-4.872,0,0.041,7872,0.76
25,0.783,0.6,173267.0,0.827,0.0,7,0.725,-6.902,1,0.905,23886,0.646
64,0.84,0.409,160448.0,0.272,0.0,6,0.116,-9.565,0,0.0481,19154,0.417
33,0.334,0.627,224187.0,0.522,0.878,4,0.113,-10.848,1,0.0966,14907,0.498
46,0.829,0.497,242027.0,0.38,0.737,3,0.15,-10.464,0,0.034,23025,0.18
47,0.00166,0.462,194573.0,0.981,0.00894,5,0.0856,-2.371,1,0.127,26227,0.547
51,7.79e-05,0.602,345304.0,0.793,0.139,9,0.0968,-5.198,1,0.0623,26227,0.583
48,0.0149,0.447,216093.0,0.757,0.0,2,0.0666,-6.045,1,0.191,12119,0.565
42,0.366,0.663,202149.0,0.318,0.0,5,0.159,-10.48,1,0.332,26227,0.391
19,0.867,0.25,111573.0,0.0199,0.00684,10,0.175,-29.153,0,0.047,26227,0.202
82,0.0193,0.749,269554.0,0.794,0.0,3,0.543,-5.063,0,0.064,9376,0.46
37,0.943,0.596,,0.0282,0.0261,5,0.108,-25.848,0,0.0996,14189,0.669
21,0.971,0.16,864520.0,0.181,0.00113,0,0.0975,-16.8,0,0.0485,18645,0.0368
53,0.972,0.415,278547.0,0.168,0.000585,0,0.113,-12.223,0,0.0404,23173,0.235
47,0.113,0.697,,0.863,0.0,11,0.105,-5.913,0,0.0378,4611,0.896
44,0.0643,0.58,207355.0,0.797,0.0,9,0.34,-3.875,0,0.0309,26227,0.684
42,4.15e-05,0.477,311805.0,0.856,0.352,3,0.0772,-5.919,0,0.0497,25015,0.354
29,0.968,0.484,230000.0,0.0572,0.856,11,0.107,-23.177,0,0.0511,21209,0.23
64,0.0384,0.617,267747.0,0.771,3.32e-06,1,0.162,-5.586,1,0.112,15272,0.553
35,0.000179,0.595,253641.0,0.726,0.000367,2,0.487,-6.499,1,0.0315,25358,0.743
37,0.888,0.435,151791.0,0.964,0.0,5,0.504,-4.505,0,0.862,21531,0.381
56,0.189,0.597,178627.0,0.415,0.0,6,0.123,-13.799,0,0.0323,2347,0.826
6,0.985,0.272,138840.0,0.391,0.886,5,0.374,-15.55,0,0.0392,26143,0.0876
61,0.779,0.276,175453.0,0.358,2.5e-06,0,0.0728,-7.684,0,0.0443,26227,0.13
52,0.445,0.453,151550.0,0.509,1.17e-05,10,0.11,-8.793,1,0.0627,24586,0.153
41,0.956,0.487,116840.0,0.651,4.08e-06,1,0.833,-10.824,1,0.741,449,0.652
60,0.00694,0.764,223187.0,0.579,0.000654,8,0.0305,-5.086,1,0.0366,0,0.975
62,0.312,0.48,391829.0,0.31,1.47e-05,0,0.113,-7.887,0,0.0258,21803,0.16
67,0.0879,0.538,,0.818,1.39e-06,4,0.0971,-6.147,1,0.0586,7145,0.198
70,0.0189,0.596,240427.0,0.838,1.54e-05,8,0.108,-6.52,1,0.0704,24688,0.472
16,0.992,0.248,255800.0,0.129,8.74e-05,3,0.199,-13.362,0,0.0363,8563,0.0399
27,0.0398,0.431,,0.882,0.774,2,0.0847,-7.165,0,0.0365,2523,0.664
48,0.000643,0.493,349627.0,0.85,1.2e-05,2,0.0757,-4.895,1,0.0464,26227,0.387
55,0.925,0.671,,0.235,0.767,0,0.0639,-10.803,1,0.0806,26227,0.222
49,0.996,0.542,198000.0,0.0055,0.909,7,0.0692,-35.181,1,0.189,19338,0.313
37,0.419,0.712,264173.0,0.492,3.06e-06,10,0.108,-8.004,0,0.0656,24416,0.175
47,0.000375,0.666,299520.0,0.942,0.133,1,0.105,-3.017,1,0.031,6547,0.0796
48,0.85,0.638,277827.0,0.374,0.0189,3,0.125,-14.052,0,0.0308,21747,0.502
22,0.951,0.387,,0.0523,3.28e-05,2,0.109,-19.899,0,0.0414,7602,0.295
86,0.0085,0.691,187027.0,0.716,9.06e-06,10,0.263,-5.985,0,0.0351,3159,0.507
44,0.282,0.47,236840.0,0.794,0.000601,1,0.605,-4.547,0,0.025,25665,0.691
48,0.0138,0.81,246560.0,0.72,0.0,4,0.221,-4.793,0,0.0503,5743,0.805
38,0.434,0.678,253933.0,0.345,3.81e-05,4,0.254,-17.268,1,0.0338,17364,0.564
41,0.769,0.506,163173.0,0.271,0.0,5,0.111,-10.234,0,0.0277,6189,0.337
36,0.0538,0.616,255773.0,0.705,0.704,0,0.0692,-7.636,0,0.0351,23717,0.413
59,0.349,0.198,312533.0,0.703,0.0382,5,0.151,-5.484,0,0.0361,26227,0.219
47,3.79e-05,0.576,231933.0,0.848,8.58e-05,3,0.205,-4.145,0,0.0433,26227,0.748
54,0.24,0.526,264200.0,0.587,0.243,5,0.886,-8.733,0,0.039,24352,0.364
50,0.0323,0.772,207680.0,0.527,1.72e-06,3,0.237,-8.417,0,0.0628,1056,0.285
34,0.671,0.542,239893.0,0.287,0.000449,0,0.0868,-12.024,0,0.0376,7854,0.15
11,0.983,0.143,849813.0,0.0175,0.0021,4,0.116,-25.308,0,0.0538,26227,0.037
63,0.309,0.635,223480.0,0.562,2.01e-06,1,0.11,-8.92,1,0.168,15354,0.288
74,0.108,0.784,204989.0,0.761,5.05e-05,1,0.05,-4.253,1,0.0343,1323,0.385
18,0.877,0.528,118283.0,0.737,0.0,0,0.954,-8.414,0,0.951,26227,0.522
52,0.979,0.54,258187.0,0.186,0.036,3,0.107,-10.167,0,0.028,23792,0.0751
42,0.0569,0.34,193514.0,0.779,0.0,0,0.369,-6.094,1,0.0542,10101,0.497
18,0.985,0.343,436413.0,0.224,0.000176,5,0.0872,-15.156,0,0.0535,8517,0.0938
5,0.955,0.202,,0.136,0.303,3,0.0972,-19.824,0,0.0423,14090,0.0444
23,0.647,0.566,,0.484,0.0,11,0.743,-17.556,1,0.95,26227,0.202
36,0.751,0.243,246183.0,0.439,0.781,3,0.115,-11.974,0,0.0343,26227,0.0738
60,0.0698,0.514,189627.0,0.584,0.000183,8,0.205,-13.049,0,0.042,3704,0.558
23,0.812,0.622,435227.0,0.607,0.0,3,0.965,-8.715,0,0.956,22842,0.408
5,0.971,0.296,331477.0,0.349,0.0155,5,0.659,-20.559,0,0.336,25835,0.148
25,0.78,0.596,173550.0,0.642,0.0,4,0.637,-10.661,0,0.939,16193,0.519
43,0.0352,0.518,244053.0,0.527,0.000366,10,0.0884,-5.5,0,0.031,10192,0.295
3,0.97,0.25,226573.0,0.137,0.000575,3,0.145,-18.117,0,0.0517,21205,0.0383
43,0.0109,0.38,364747.0,0.938,0.0257,10,0.366,-6.183,0,0.0384,25243,0.604
32,0.211,0.657,177160.0,0.736,0.00527,0,0.377,-8.31,0,0.0303,8343,0.968
44,0.223,0.504,288053.0,0.718,0.146,3,0.114,-8.391,0,0.0515,13194,0.267
51,0.345,0.626,238080.0,0.439,1.12e-06,5,0.168,-6.758,0,0.0273,26227,0.0434
55,0.924,0.391,258290.0,0.183,3.21e-05,4,0.425,-9.831,1,0.031,3076,0.172
54,0.0071,0.519,209520.0,0.897,0.539,10,0.211,-3.167,1,0.0276,26227,0.335
43,0.567,0.423,350413.0,0.513,0.463,6,0.649,-7.418,0,0.0296,23433,0.315
41,0.524,0.698,308259.0,0.516,0.258,0,0.292,-9.605,0,0.0441,26227,0.402
27,0.00208,0.434,,0.911,5.14e-06,10,0.149,-5.527,0,0.0513,11059,0.6
41,0.0867,0.742,257693.0,0.775,0.103,7,0.0882,-9.153,1,0.0356,6539,0.774
31,0.899,0.416,,0.886,0.0,0,0.953,-8.66,0,0.935,14536,0.21
59,0.0429,0.412,193333.0,0.506,0.169,7,0.139,-7.759,1,0.0364,15300,0.0685
50,0.0959,0.622,,0.645,0.00259,10,0.387,-6.725,0,0.0409,5240,0.72
51,0.000702,0.47,192311.0,0.969,0.0,9,0.332,-4.739,0,0.0968,11099,0.593
73,0.019,0.772,283400.0,0.685,8.96e-05,8,0.131,-6.849,0,0.0696,7909,0.501
36,0.432,0.453,270320.0,0.716,0.0,5,0.202,-7.018,0,0.0338,2892,0.567
17,0.99,0.262,202040.0,0.0566,0.00147,4,0.0796,-19.267,0,0.0445,21869,0.0574
79,0.506,0.569,205467.0,0.526,0.0,9,0.0708,-6.67,1,0.359,6513,0.474
48,0.26,0.635,302893.0,0.52,0.0,8,0.307,-11.376,1,0.0346,3082,0.421
47,0.835,0.688,140693.0,0.7,0.325,1,0.121,-5.695,0,0.0375,26227,0.728
31,0.618,0.776,210133.0,0.306,0.425,3,0.101,-17.937,0,0.0372,3862,0.717
40,0.973,0.196,342547.0,0.0174,0.965,7,0.0659,-28.408,1,0.0499,26227,0.0543
39,0.732,0.43,,0.482,0.0,10,0.151,-5.961,0,0.028,17256,0.354
48,0.0168,0.517,,0.654,9.07e-06,3,0.0628,-5.369,0,0.0302,21088,0.221
32,0.829,0.658,191480.0,0.88,0.0,9,0.749,-7.941,0,0.928,5790,0.499
62,0.138,0.521,196827.0,0.826,0.0,5,0.196,-2.888,0,0.0372,12938,0.372
25,0.767,0.552,309747.0,0.59,0.0,8,0.931,-18.551,1,0.93,5853,0.0767
49,0.77,0.484,202520.0,0.291,6.66e-06,8,0.1,-8.366,0,0.0274,362,0.276
41,0.424,0.668,260511.0,0.686,0.586,7,0.104,-7.649,1,0.0568,7950,0.205
62,0.0151,0.518,196325.0,0.689,0.000522,0,0.107,-6.89,0,0.0409,5305,0.35
46,0.0198,0.547,232973.0,0.575,0.0,1,0.205,-6.282,1,0.0258,26227,0.311
70,0.736,0.718,266907.0,0.302,0.163,9,0.0887,-12.086,0,0.0372,26227,0.333
43,0.684,0.716,,0.31,4.82e-06,4,0.0586,-11.676,1,0.04,2982,0.482
68,0.0338,0.566,,0.755,0.0,2,0.315,-5.526,0,0.0368,294,0.445
5,0.821,0.296,140507.0,0.265,0.915,4,0.115,-16.98,0,0.0351,2435,0.572
68,0.214,0.519,211224.0,0.828,0.0,8,0.0571,-5.523,0,0.365,26227,0.929
56,0.55,0.423,112067.0,0.59,4.22e-05,0,0.306,-7.37,1,0.156,26227,0.387
61,0.971,0.329,289560.0,0.277,0.024,1,0.0971,-13.111,1,0.0302,13052,0.121
45,0.362,0.641,376533.0,0.414,0.833,2,0.25,-11.95,1,0.0432,26227,0.269
49,0.079,0.555,195480.0,0.537,0.0,1,0.0379,-6.585,1,0.0273,8359,0.231
30,0.0534,0.29,,0.312,0.786,4,0.339,-12.988,1,0.0348,26227,0.0534
72,0.23,0.547,303200.0,0.58,0.00877,5,0.0569,-13.415,1,0.0293,2532,0.505
28,0.741,0.435,178720.0,0.854,0.0,4,0.811,-7.744,0,0.953,21691,0.366
46,0.523,0.568,186203.0,0.754,4.97e-06,10,0.124,-4.777,0,0.081,19602,0.498
45,0.55,0.747,259160.0,0.557,0.881,11,0.0816,-8.706,0,0.0449,26227,0.385
63,0.353,0.631,277671.0,0.526,0.849,11,0.094,-13.39,0,0.0421,4207,0.105
66,0.249,0.835,202087.0,0.681,0.0,11,0.18,-4.357,0,0.111,3646,0.687
29,0.772,0.485,75000.0,0.937,0.0,0,0.974,-6.233,0,0.872,26227,0.616
34,0.976,0.303,324707.0,0.0666,0.864,8,0.111,-26.421,0,0.0392,1901,0.115
51,0.534,0.566,254693.0,0.605,0.0,3,0.0966,-5.348,1,0.0459,2817,0.322
55,0.206,0.664,208571.0,0.842,6.26e-06,0,0.554,-5.351,0,0.339,21410,0.719
50,0.237,0.845,240519.0,0.711,0.0,4,0.368,-4.458,0,0.308,8409,0.722
18,0.839,0.589,482747.0,0.401,0.0,5,0.728,-15.825,0,0.95,26227,0.393
49,0.584,0.697,169652.0,0.507,8.9e-06,5,0.0909,-8.298,0,0.0865,26227,0.374
41,0.268,0.635,180193.0,0.883,8.08e-05,2,0.57,-4.409,1,0.253,18355,0.488
50,0.109,0.725,291560.0,0.426,3.02e-05,11,0.112,-9.175,1,0.259,25648,0.157
49,0.669,0.684,126920.0,0.621,0.000622,4,0.173,-6.641,0,0.0934,26227,0.866
38,0.815,0.268,184267.0,0.24,0.0,10,0.104,-14.424,0,0.0309,791,0.217
47,0.813,0.515,,0.146,0.00175,2,0.14,-15.018,0,0.0381,26227,0.243
52,0.0081,0.753,179373.0,0.708,0.0,10,0.188,-5.389,0,0.265,1459,0.323
36,0.994,0.123,174159.0,0.156,0.00714,9,0.108,-13.656,1,0.0443,16116,0.186
49,0.00277,0.612,,0.666,0.0,7,0.286,-5.866,1,0.0317,5256,0.353
63,0.00175,0.394,,0.744,0.0,8,0.308,-5.465,1,0.276,26227,0.772
62,0.205,0.443,158193.0,0.691,0.0,2,0.547,-6.228,1,0.124,11858,0.344
45,4.52e-05,0.518,206773.0,0.949,0.0158,0,0.237,-5.374,1,0.13,2062,0.548
49,0.81,0.355,234247.0,0.14,0.764,6,0.0884,-18.42,0,0.0354,5161,0.0354
40,0.98,0.453,189333.0,0.26,0.00144,7,0.0605,-16.733,0,0.068,9680,0.34
73,0.269,0.646,,0.865,4.16e-06,9,0.11,-4.215,0,0.0983,15688,0.762
5,0.965,0.389,228400.0,0.213,5.56e-05,1,0.109,-18.277,0,0.103,24795,0.437
56,0.152,0.893,194693.0,0.661,0.0,7,0.271,-6.33,1,0.149,574,0.466
12,0.982,0.259,273373.0,0.209,0.000307,11,0.0977,-13.412,0,0.0408,18399,0.0929
51,0.0262,0.481,370187.0,0.878,0.00211,3,0.282,-4.734,1,0.0552,9549,0.401
34,0.955,0.181,589520.0,0.00211,0.642,11,0.129,-38.506,1,0.0478,16420,0.038
62,0.579,0.868,,0.706,0.000114,8,0.0765,-4.098,1,0.13,24734,0.741
36,0.113,0.499,176067.0,0.75,0.205,10,0.387,-7.24,0,0.0353,11696,0.579
35,0.871,0.342,212293.0,0.26,0.628,4,0.247,-12.581,0,0.0279,17077,0.241
48,0.132,0.654,195781.0,0.667,0.754,2,0.434,-7.888,1,0.0459,22576,0.943
35,0.973,0.191,357160.0,0.163,0.836,9,0.472,-22.123,0,0.0516,18165,0.0376
58,0.784,0.693,249170.0,0.62,0.844,0,0.112,-6.509,0,0.0424,1708,0.571
42,0.134,0.545,232949.0,0.611,0.0,5,0.672,-7.127,1,0.374,5337,0.292
59,0.158,0.879,206733.0,0.373,7.45e-05,0,0.0767,-9.174,0,0.0629,2121,0.524
65,0.00776,0.614,234093.0,0.543,3.28e-05,8,0.383,-7.178,0,0.374,15151,0.485
72,0.0416,0.938,127346.0,0.696,0.0,4,0.126,-5.837,0,0.384,25666,0.756
72,0.115,0.709,166947.0,0.904,0.000247,7,0.167,-3.916,0,0.0388,6809,0.668
59,0.513,0.609,229867.0,0.611,0.0,3,0.093,-9.208,0,0.0298,5677,0.916
61,0.00872,0.972,,0.482,0.0,11,0.149,-6.128,0,0.0703,6549,0.0767
50,0.0189,0.923,110415.0,0.793,0.197,9,0.264,-3.755,0,0.0723,26227,0.537
